passportArea,weight,currentTeamId,birthDate,height,role,wyId,foot,shortName
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",83,677.0,1987-01-04,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",99,right,P. Tyto\u0144
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",85,3766.0,1987-05-20,191,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",102,right,Marcelo
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",65,2462.0,1994-03-30,169,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",110,left,J. Willems
"{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}",78,3163.0,1993-12-19,186,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",131184,left,Ali Adnan
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,3158.0,1990-02-13,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",114,left,K. Strootman
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",78,3766.0,1994-02-13,176,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",118,right,M. Depay
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",61,3187.0,1987-05-06,169,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",122,right,D. Mertens
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",78,3780.0,1986-07-03,192,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",123,right,O. Toivonen
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,3162.0,1992-02-05,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",130,right,S. de Vrij
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",78,16469.0,1985-01-27,179,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",142,right,K. El Ahmadi
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,696.0,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",151,right,J. Guidetti
"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",86,4535.0,1988-08-11,192,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",32923,right,V. Babacan
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,2481.0,1991-07-10,188,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",159,right,J. Gouweleeuw
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",72,3219.0,1992-01-30,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",174,right,F. \u0110uri\u010di\u0107
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",70,2457.0,1986-10-30,176,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",32959,right,P. Pekar\u00edk
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",93,3194.0,1988-06-10,195,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",192,left,J. Vukovi\u0107
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",77,16470.0,1987-03-31,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",32968,right,N. Amrabat
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",72,3783.0,1991-03-01,182,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",131321,right,C. Kouakou
"{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}",71,683.0,1988-11-20,175,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",254,right,R. Rosales
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",80,1627.0,1989-08-02,187,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",261,right,N. Chadli
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",76,3172.0,1994-06-05,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",295176,left,R. Gosens
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",78,3770.0,1991-09-11,188,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",229697,right,Y. Bammou
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",86,3783.0,1995-02-03,193,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",328021,left,F. Le Joncour
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",78,8743.0,1992-02-16,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",65880,right,Andr\u00e9 Ramalho
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",69,3163.0,1999-01-04,180,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",393566,left,D. Borsellini
"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",81,1651.0,1988-06-28,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",16443,right,L. Balogun
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",70,3166.0,1996-06-07,175,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",295273,right,G. Donsah
"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",82,3795.0,1991-06-29,190,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",382,right,Suk Hyun-Jun
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",76,9.0,1988-11-20,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",383,left,D. Tadi\u0107
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",80,3163.0,1990-05-04,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",394,left,B. Nuytinck
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",78,9.0,1986-05-27,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",405,right,L. Sch\u00f6ne
"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",56,3777.0,1998-11-14,166,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",376908,left,A. Jallow
"{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}",75,4502.0,1987-06-28,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",33235,right,B. Stancu
"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",90,2482.0,1997-12-06,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",328190,right,G. Kobel
"{'name': 'Congo DR', 'id': '180', 'alpha3code': 'COD', 'alpha2code': 'CD'}",80,2454.0,1996-11-20,191,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",360992,right,D. Zakaria
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",76,3172.0,1991-03-29,185,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",625,right,M. de Roon
"{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}",75,1609.0,1996-05-03,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",230020,right,A. Iwobi
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",77,3158.0,1996-06-19,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",328333,right,L. Pellegrini
"{'name': 'Algeria', 'id': '12', 'alpha3code': 'DZA', 'alpha2code': 'DZ'}",75,3194.0,1996-02-15,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",328336,left,M. Fares
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",73,3772.0,1994-05-04,176,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",295569,right,Ot\u00e1vio
"{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}",72,714.0,1996-01-17,180,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",393881,right,H. Toledo
"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",78,1619.0,1988-08-24,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",703,right,M. Yoshida
"{'name': 'Congo', 'id': '178', 'alpha3code': 'COG', 'alpha2code': 'CG'}",78,3787.0,1997-08-05,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",426692,right,B. Passi
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",73,2449.0,1997-10-21,179,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",426702,left,H. Mendyl
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",70,3779.0,1997-07-01,184,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",426714,right,A. Caci
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",77,712.0,1990-07-12,182,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",5481,right,Guerrero
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",75,692.0,1994-02-09,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",786,left,R. Maz\u00e1\u0148
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,3779.0,1997-03-04,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",394006,right,M. Terrier
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",75,,1997-05-05,184,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",394008,right,T. Efouba Ayissi
"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",72,9607.0,1995-12-16,187,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",332821,right,T. Ebuehi
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",65,3775.0,1996-04-11,170,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",328488,right,P. Burner
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",64,3795.0,1996-08-14,168,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",295761,right,S. Grandsir
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",0,696.0,1997-05-12,0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",404285,right,V\u00edctor L\u00f3pez
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",65,3775.0,1991-07-19,168,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",131959,right,J. Seri
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",77,712.0,1994-12-18,187,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",263091,left,Gumbau
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",68,756.0,1997-07-12,173,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",263105,right,Pablo Maffeo
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",78,13505.0,1987-11-04,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99381,right,A. J\u0119drzejczyk
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",75,13887.0,1989-08-19,173,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99391,left,M. Rybus
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",82,2445.0,1992-01-15,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99410,left,M. Kami\u0144ski
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",76,2460.0,1992-03-17,188,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",66654,right,K. Onisiwo
"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}",81,,1988-01-13,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",99425,left,A. Rud\u0146evs
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",83,3158.0,1991-05-05,190,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",99430,right,\u0141. Skorupski
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",76,2463.0,1990-02-13,184,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99437,right,P. Olkowski
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",78,3187.0,1994-02-28,186,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",99452,left,A. Milik
"{'name': 'Burkina Faso', 'id': '854', 'alpha3code': 'BFA', 'alpha2code': 'BF'}",72,,1987-04-21,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",99453,right,P. Nakoulma
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",76,3315.0,1981-03-25,183,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",20771,left,G. Pegolo
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",72,3165.0,1995-05-12,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",99511,right,M. St\u0119pi\u0144ski
"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}",89,3771.0,1996-09-17,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",230626,right,D. \u0106aleta-Car
"{'name': 'Lithuania', 'id': '440', 'alpha3code': 'LTU', 'alpha2code': 'LT'}",92,3774.0,1996-06-01,192,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",240507,right,E. Gertmonas
"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}",74,,1989-05-10,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",69874,left,H. Mili\u0107
"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",70,2457.0,1997-04-08,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",492782,right,J. Klinsmann
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",80,3204.0,1994-08-03,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",263432,right,F. Vicari
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",70,3194.0,1994-07-01,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",263433,right,A. Ferrari
"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}",88,2460.0,1993-05-10,194,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",230687,right,E. Berggreen
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",88,3772.0,1985-05-30,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99633,right,I. Lewczuk
"{'name': 'Mali', 'id': '466', 'alpha3code': 'MLI', 'alpha2code': 'ML'}",76,3166.0,1996-04-16,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",361779,left,C. Keita
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",69,698.0,1995-04-14,182,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",329026,right,Carlos Calder\u00f3n
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",80,3204.0,1986-04-21,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99661,right,T. Cionek
"{'name': 'Uruguay', 'id': '858', 'alpha3code': 'URY', 'alpha2code': 'UY'}",73,3159.0,1997-06-25,185,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",361807,right,R. Bentancur
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",76,2975.0,1995-05-14,186,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",296341,left,Bernardo
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",81,2453.0,1987-10-26,190,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",99749,right,R. Gikiewicz
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",85,3173.0,1995-08-01,190,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",263591,right,A. Deiola
"{'name': 'Afghanistan', 'id': '4', 'alpha3code': 'AFG', 'alpha2code': 'AF'}",73,2482.0,1996-10-27,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",263614,right,N. Amiri
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",78,678.0,1995-01-24,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",230857,right,Yeray
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",73,678.0,1993-05-04,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",230862,right,Lekue
"{'name': 'Egypt', 'id': '818', 'alpha3code': 'EGY', 'alpha2code': 'EG'}",84,27533.0,1989-01-10,193,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",198120,right,Ali Gabr
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",70,756.0,1993-02-20,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",230895,right,Pere Pons
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",65,677.0,1993-01-20,169,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",230897,left,Fede Cartabia
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",77,3164.0,1992-07-12,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99833,right,B. Bereszy\u0144ski
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",81,7727.0,1983-04-01,183,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",38241,right,\u00d3. Sk\u00falason
"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",79,2446.0,1994-01-31,183,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",165425,right,D. Kohr
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",75,3187.0,1994-05-20,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",99902,right,P. Zieli\u0144ski
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",77,19830.0,1992-08-24,184,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",263766,right,Jemerson
"{'name': 'Congo DR', 'id': '180', 'alpha3code': 'COD', 'alpha2code': 'CD'}",72,19830.0,1997-05-07,176,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",263802,right,Y. Tielemans
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",80,3172.0,1995-12-05,185,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",263803,right,T. Castagne
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",71,3766.0,1995-10-09,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",1712,right,K. Tete
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",71,7452.0,1994-06-09,180,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",1722,right,V. Fischer
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",74,2451.0,1996-10-12,184,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",1729,right,R. Bazoer
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",80,3782.0,1994-03-23,177,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",1751,left,O. Tannane
"{'name': 'Congo DR', 'id': '180', 'alpha3code': 'COD', 'alpha2code': 'CD'}",67,3767.0,1995-08-13,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",231138,left,P. Kimpembe
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,2444.0,1996-06-13,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",231139,right,K. Coman
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",73,5655.0,1996-08-30,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",263948,left,Gabigol
"{'name': 'Mauritania', 'id': '478', 'alpha3code': 'MRT', 'alpha2code': 'MR'}",71,3795.0,1996-04-20,171,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",231184,right,M. Sissako
"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",71,4487.0,1990-01-23,171,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",34592,right,\u015e. \u00d6zbayrakl\u0131
"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}",86,13898.0,1989-03-24,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",102629,right,A. Semenov
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,3783.0,1998-06-05,173,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",493412,left,Y. Armougom
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",70,3779.0,1996-12-19,177,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",493415,right,K. Zohi
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",79,687.0,1997-03-30,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",395114,right,Zubeld\u00eda
